Numar,Intrebare,Raspuns 1,Raspuns 2,Raspuns 3,Raspuns 4,Domeniu
1,Care Dani a venit primul in Speranta?,Dani Chira,Dani Bot,Dani Gheorghe,Dani Ardelean,Cultura Speranta
2,Ce unire sarbatorim in data de 24 Ianuarie?,Transilvania si Romania,Moldova si Tara Romaneasca,"Tara Romaneasca, Moldova si Transilvania",Valahia si Romania,Istorie
3,In care Fast and Furious a jucat John Cena?,Fast & Furious 7,Fast & Furious 8,Fast & Furious 9,Fast & Furious Hobbs & Shaw,Filme
4,In ce epoca a istoriei a trait Pitagora?,Preistorie,Antichitate,Evul Mediu,Epoca Moderna,Istorie
5,Care din urmatoarele tari nu se invecineaza cu Rusia?,Polonia,Azerbaidjan,Uzbekistan,Georgia,Geografie
6,Cate legi are Gustav Kirchhoff?,1,2,3,4,Fizica
7,Care este cel mai vechi sport dintre cele prezente la jocurile olimpice?,Cursa de alergare - stadion,Lupte greco-romane,Săritura în lungime,Tir cu arcul,Sport
8,Ce element chimic reprezinta aproximativ 78% din atmosfera pamantului?,H (Hidrogenul),O (Oxigenul),N (azotul),He (Heliul),Chimie
9,Despre care dintre cele 7 biserici din Apocalisa Isus nu a spus nimic bun?,Efes,Sardes,Tiatira,Laodicea,Biblie
10,Ce organ filtrază sângele în corpul uman?,Rinichiul,Inima,Stomacul,Ficatul,Biologie
11,Cine este autorul cărții „Mizerabilii”?,Hector Malot,Victor Hugo,Lev Tolstoi,Jules Verne,Literatura
12,Care este slabiciunea lui Superman?,Prometiul,Kryptonita,Batman,Neptonina,Filme
13,Care dintre urmatorii apostoli a fost numit si ''Fiul tunetului''?,Ioan,Iuda,Filip,Petru,Biblie
14,Care dintre urmatorii nu face parte din Echipa de Tineret?,Alina Avram,Daniel Bot,Alex Gligor,Sami Lehaci,Cultura Speranta
15,Cine a scris cartea 1 Timotei?,Luca,Timotei,Pavel,Iacov,Biblie
16,În ce sport se folosește termenul „birdie”?,Baseball,Golf,Badminton,Hochei,Sport
17,Ce tip de triunghi are toate laturile egale?,Triunghi echilateral,Triunghi isoscel,Triunghi dreptunghic,Triunghi trilateral,Matematica
18,Cum se numește pigmentul care dă culoarea verde plantelor?,Antocianină,Solanina,Clorobiontină,Clorofila,Biologie
19,Care dintre următoarele numere este un pătrat perfect?,48,49,52,55,Matematica
20,Cine a fost primul împărat al Imperiului Roman?,Cezar,Nero,Augustus,Tiberius,Istorie
21,Ce tip de unda este lumina? ,Mecanica,Termica,Fizica,Electromagnetica,Fizica
22,Cine a condus poporul Israel în Țara Promisă?,Iosif,Moise,David,Iosua,Biblie
23,Ce rasă este cunoscută pentru faptul că nu năpârlește aproape deloc?,Beagle,Bulldog Englez,Poodle,Rottweiler,Rase de caini
24,Cine a fost împărat în vremea prorocului Habacuc?,Ioachim,Amon,Iosua,Manase,Biblie
25,Care dintre următoarele instrumente NU poate fi acordat cu ajutorul unei furci de acordaj?,Vioara ,Trianglu,Pian,Chitara,Muzica
26,Ce termen desemnează un personaj opus protagonistului?,Mentor,Narator,Antagonist,Sculptor,Literatura
27,"Pe un pian standard de 88 de clape, care este prima și ultima notă?",C (Do1) și C (Do8) ,La (A1) și C (Do7),La (A0) și C (Do8),C (Do2) si C (Do7),Muzica
28,Ce râu trece prin Londra?,Tamisa,Sena,Volga,Rin,Geografie
29,Care este ordinea notelor corzilor unei chitare acustice standard?,La - Mi - Re - Sol - Si - Re,Mi - La - Sol - Re - Si - Mi,Mi - La - Re - Sol - Si - Mi,Mi - Re - Sol - Si - La - Mi,Muzica
30,Care continent are cele mai multe țări?,America de Sud,Africa,Europa,Asia,Geografie
31,Ce ulei este considerat bun pentru hidratarea părului uscat?,Benzina,Parafina,Argan,Mineral,Cosmetica
32,Ce gen literar combină elemente de aventură și fantastic?,Roman Politist,Biografie,Fantasy,Eseu,Literatura
33,Care este capitala Canadei?,Toronto,Vancouver,Montreal,Ottawa,Geografie
34,Ce ocean se află la est de Africa?,Oceanul Atlantic,Oceanul Arctic,Oceanul Indian,Oceanul Pacific,Geografie
35,Care este cea mai mare insulă din lume?,Madagascar,Borneo,Noua Guinee,Groenlanda,Geografie
36,Care este capitala Australiei?,Canberra,Sydney,Viena,Melbourne,Geografie
37,Care mare este cea mai sărată?,Marea Neagră,Marea Moartă,Marea Mediterană,Marea Roșie,Geografie
38,Cine este considerat cel mai titrat jucător de tenis din istorie (Grand Slam-uri)?,Rafael Nadal,Novak Djokovic,Roger Federer,Andy Murray,Sport
39,În ce sport se folosește termenul „knockout”?,Judo,Atletism,Box,Înot,Sport
40,Ce sport practică LeBron James?,Baschet,Fotbal american,Baseball,Hochei,Sport
41,Cine a câștigat Balonul de Aur în 2023?,Cristiano Ronaldo,Luka Modric,Lionel Messi,Rodri,Sport
42,Ce țară este cunoscută pentru sportul sumo?,Japonia,Coreea de Sud,Thailanda,China,Sport
43,În ce film apare personajul Jack Sparrow?,Titanic,Pirates of the Caribbean,Avatar,Harry Potter,Film
44,Cine a regizat trilogia „Lord of the Rings”?,George Lucas,Peter Jackson,Tim Burton,James Cameron,Film
45,Ce film de animație are personajul Simba?,Shrek,Madagascar,The Lion King,Ice Age,Film
46,Ce film are replica „I’ll be back”?,Terminator,Rocky,Rambo,Predator,Film
47,Ce film are ca protagonist un gladiator roman?,Gladiator,Spartacus,Troia,Ben-Hur,Film
48,„Ion” este un roman de:,Sadoveanu,Călinescu,Slavici,Rebreanu,Literatura
49,Ce gen literar este poezia?,Epic,Dramatic,Didactic,Liric,Literatura
50,„1984” este un roman de:,Orwell,Huxley,Kafka,Bradbury,Literatura
51,„Moromeții” este despre:,Orașul românesc,Satul românesc,Război,Aventură,Literatura
52,Ce curent literar aparține lui Eminescu?,Realism,Modernism,Romanticism,Naturalism,Literatura
53,Cine a fost primul domnitor al Țării Românești?,Mircea cel Bătrân,Basarab I,Vlad Țepeș,Neagoe Basarab,Istorie
54,Cine a fost primul împărat roman?,Cezar,Augustus,Nero,Traian,Istorie
55,Cine a realizat Unirea de la 1600?,Ștefan cel Mare,Alexandru Ioan Cuza,Carol I,Mihai Viteazul,Istorie
56,Al Doilea Război Mondial s-a încheiat în:,1943,1944,1945,1946,Istorie
